|positive|,|@PrincessSuperC Hey Cici sweetheart! Just wanted to let u know I luv u! OH! and will the mixtape drop soon? FANTASY RIDE MAY 5TH!!!!|,
|positive|,|@Msdebramaye I heard about that contest! Congrats girl!!|,
|positive|,|UNC!!! NCAA Champs!! Franklin St.: I WAS THERE!! WILD AND CRAZY!!!!!! Nothing like it...EVER http://tinyurl.com/49955t3|,
|neutral|,|Do you Share More #jokes #quotes #music #photos or #news #articles on #Facebook or #Twitter?|,
|neutral|,|Good night #Twitter and #TheLegionoftheFallen.  5:45am cimes awfully early!|,
|neutral|,"|I just finished a 2.66 mi run with a pace of 11'14""/mi with Nike+ GPS. #nikeplus #makeitcount|",
|negative|,|Disappointing day. Attended a car boot sale to raise some funds for the sanctuary, made a total of 88p after the entry fee - sigh|
|negative|,|no more taking Irish car bombs with strange Australian women who can drink like rockstars...my head hurts.|,
|negative|,|Just had some bloodwork done. My arm hurts|,
|positive|,"|the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal .|",
|positive|,"|the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth .|",
|positive|,|effective but too-tepid biopic|,
|positive|,"|if you sometimes like to go to the movies to have fun , wasabi is a good place to start .|",
|positive|,"|emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one .|",
|positive|,|the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .|,
|positive|,|offers that rare combination of entertainment and education .|,
|positive|,|perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .|,
|positive|,|steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it . but he somehow pulls it off .|,
|positive|,|take care of my cat offers a refreshingly different slice of asian cinema .|,
|negative|,|a mimetic approximation of better films like contempt and 8 1/2 .|,
|negative|,"|unintelligible , poorly acted , brain-slappingly bad , harvard man is ludicrous enough that it could become a cult classic .|",
|negative|,"|watching the powerpuff girls movie , my mind kept returning to one anecdote for comparison : the cartoon in japan that gave people seizures .|",
|negative|,|aan opportunity wasted .|,
|negative|,|an inelegant combination of two unrelated shorts that falls far short of the director's previous work in terms of both thematic content and narrative strength .|,
|negative|,"|to build a feel-good fantasy around a vain dictator-madman is off-putting , to say the least , not to mention inappropriate and wildly undeserved .|",
|negative|,"|with the cheesiest monsters this side of a horror spoof , which they isn't , it is more likely to induce sleep than fright .|",
|negative|,"|mild , meandering teen flick .|",
|negative|,|though its atmosphere is intriguing . . . the drama is finally too predictable to leave much of an impression .|,
|negative|,"|though this rude and crude film does deliver a few gut-busting laughs , its digs at modern society are all things we've seen before .|",
|negative|,"|although it tries to be much more , it's really just another major league .|",
|neutral|,"|Amazes me, I set up a #GMail address and have yet to use it even once and it's getting a ton of spam #Google|",
|neutral|,"|Haven't even freshened up, due to #Google's #IceCreamSandwichEvent. #OffToShower now.|",
|neutral|,"|The Ice Cream Sandwich presentation was very buggy, however 4.0 looks much more promising than expected.  #Android #GalaxyNexus #Google|",
|neutral|,|Recent study of #Google CTR reveals that top three positions in #GoogleSearch receive 35% of traffic.... http://t.co/IHts3PyW|,
|neutral|,"|Hey, #google!  You lied.  #android 4.0 platform is not up as a link yet.  But I found it. http://t.co/v5WG698V #ics #sdk|",
|neutral|,"|#google #yahoo #bing Ballmer on Bing, Xbox, Apple...oh, and Yahoo, too http://t.co/CfHu4jBP #seo #serps|",
|neutral|,|So is the #galaxynexus coming to @sprint any info @android #google #android|,
|neutral|,|#Google Google Event: Vorstellung des Samsung Galaxy Nexus (Caschys Blog): o3:30 klingelte mein Wecker. Googles ... http://t.co/QnVDVcMX|,
|neutral|,|That was good but when is it coming out? What carriers? What pricepoints? #android #google|,
